Site,PlantID,FocalPlantCover,OtherPlantCover,NumPlantsinQuad,PlantStage,ht_cm,NumLeaves,NumLeavesHerb,PercHerbPlant,PercLf1,PercLf2,PercLf3,PercLf4,PercLf5,PercLf6,PercLf7,PercLf8,PercLf9,NNdist,Numberofpetals ,Numberofpetalsherb,Percentageofdamagepetals ,PercHerbpetal1,PercHerbpetal2,PercHerbpetal3,PercHerbpetal4,PercHerbpetal5,PercHerbpetal6,PercHerbpetal7,PercHerbpetal8,PerHerbpistil+stamen,Red_NonRed,Flowercolor,Flowersexual ,Weightof100seeds(g),Weightofoneseed(g),Weightofallseeds(g) ,NumberoftheSeeds
Shokeda,37,50,5,10,Flower ,10,13,4,3,1,10,2,,,,,,3,22,6,1,0.5,,,,,,,,0.5,0,Red,Red,Female,,,,
Shokeda,38,,,,Flower ,8,7,5,30,2,50,20,75,,,,,3,,5,2,0.5,1,,,,,,,0.5,0,Red,Red,Female,,,,
Shokeda,39,10,10,4,Flower ,16,8,3,2,10,1,,,,,,,1,24,5,4,3,3,1,0.5,,,,,1,0,Red,Red,Male ,,,,
Shokeda,40,,,,Flower ,12,9,2,1,3,,,,,,,,10,,6,3,3,3,3,,,,,,1,0,Red,Red,Female ,,,,
Shokeda,41,25,5,4,Flower ,13,5,5,10,10,5,1,10,,,,,33,0,5,0,0,,,,,,,,0,0,Red,Red,Female ,,,,
Shokeda,42,,,,Flower ,14,5,3,1,1,1,,,,,,,3,,5,2,1,1,,,,,,,0.5,0,Red,Red,Female ,,,,
Shokeda,43,25,1,4,Flower ,11,7,3,1,1,1,,,,,,,5,25,5,5,5,3,5,1,5,,,,3,0,Red,Red,Male ,0.0405,0.000405,0.1909,471.3580247
Shokeda,44,,,,Flower ,18,14,3,0.5,3,1,,,,,,,5,,5,3,10,5,10,,,,,,5,0,Red,Red,Male ,,,,
Shokeda,45,50,1,5,Flower ,12,12,2,0.5,2,,,,,,,,1,23,6,3,5,1,5,,,,,,1,0,Red,Red,Male ,0,0,0,0
Shokeda,46,,,,Flower ,15,7,3,2,3,10,,,,,,,5,,6,3,5,10,3,,,,,,3,0,Red,Red,Male ,,,,
Shokeda,47,25,10,5,Flower ,10,12,7,8,10,5,10,3,2,5,,,5,24,5,1,5,,,,,,,,1,0,Red,Red,Female ,,,,
Shokeda,48,,,,Flower ,8,8,0,0,,,,,,,,,,,6,3,3,3,1,,,,,,1,0,Red,Red,Male ,,,,
Shokeda,49,25,1,5,Flower ,9,7,3,15,10,10,,,,,,,33,32,6,6,5,5,15,5,5,5,,,8,0,Red,Red,Male ,0,0,0,0
Shokeda,50,,,,Flower ,8,5,1,0.5,,,,,,,,,1,,5,4,2,1,2,1,,,,,1,0,Red,Red,Female ,,,,
Shokeda,51,25,25,1,Flower ,16,6,2,3,5,,,,,,,,10,32,6,6,5,5,5,5,5,20,,,8,0,Red,Red,Malr ,0.0205,0.000205,0.0251,122.4390244
Shokeda,52,,,,Flower ,9,6,2,5,10,,,,,,,,33,,6,2,1,1,,,,,,,0.5,0,Red,Red,Female ,0.0204,0.000204,0.026,127.4509804
Shokeda,53,10,10,2,Flower ,7,16,1,0.5,,,,,,,,,10,41,6,3,5,1,5,,,,,,1,0,Red,Red,Female ,,,,
Shokeda,54,,,,Flower ,12,7,1,0.5,,,,,,,,,3,,6,2,1,1,,,,,,,0.5,0,Red,Red,Male ,,,,
Shokeda,55,50,5,8,Flower ,14,6,4,3,10,3,5,,,,,,1,32,5,5,5,3,1,5,70,,,,10,0,Red,Red,Female ,,,,
Shokeda,56,,,,Flower ,9,9,4,10,5,1,75,,,,,,5,,6,0,0,,,,,,,,0,0,Red,Red,Female ,,,,
Shokeda,57,50,1,10,Flower ,11,8,1,1,,,,,,,,,10,,6,4,10,5,5,10,,,,,5,0,Red,Red,Male ,,,,
Shokeda,58,,,,Flower ,13,8,4,8,3,5,10,,,,,,10,,6,2,1,1,,,,,,,0.5,0,Red,Red,Female ,,,,
Shokeda,59,25,1,3,Flower ,10,5,2,2,3,,,,,,,,10,18,5,4,5,5,1,3,,,,,2,0,Red,Red,Male ,,,,
Shokeda,60,,,,Flower ,9,6,3,5,5,10,,,,,,,10,,5,4,3,5,2,,,,,,2,0,Red,Red,Female,,,,
